0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:49 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:55 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:55 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:47:55 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:48:33 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5360
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:08 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5336
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:10 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:10 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:10 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5370
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:20 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:23 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:23 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:23 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5366
